RAMAS,TITULACION,HOMBRE,MUJER
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,70,159
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,12,41
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,19,56
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,51,94
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,10,24
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,18,20
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,19,52
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,45,24
ARTES Y HUMANIDADES,GRADO EN HISTORIA,113,44
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,43,102
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,47,29
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,19,45
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,14,18
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,88,196
ARTES Y HUMANIDADES,LICENCIATURA EN ANTROPOLOGIA SOCIAL Y CULTURAL,195,310
ARTES Y HUMANIDADES,LICENCIATURA EN BELLAS ARTES,443,603
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA CLASICA,35,39
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ESLAVA,34,22
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA FRANCESA,44,88
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA HEBREA,5,2
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA HISPANICA,467,214
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA INGLESA,200,393
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ITALIANA,7,10
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA PORTUGUESA,3,3
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ROMANICA,16,13
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ARABE,41,74
ARTES Y HUMANIDADES,LICENCIATURA EN FILOSOFIA,209,86
ARTES Y HUMANIDADES,LICENCIATURA EN GEOGRAFIA,90,29
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA,424,197
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA DEL ARTE,168,287
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA Y CIENCIAS DE LA MUSICA,73,71
ARTES Y HUMANIDADES,LICENCIATURA EN TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,48,67
ARTES Y HUMANIDADES,LICENCIATURA EN TRADUCCION E INTERPRETACION,482,923
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN ESTADISTICA,28,37
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN NUTRICION HUMANA Y DIETETICA,64,194
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN OPTICA Y OPTOMETRIA,128,258
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGIA,136,150
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUIMICA,20,37
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,96,59
CIENCIAS EXPERIMENTALES,GRADO EN ESTADISTICA,45,18
CIENCIAS EXPERIMENTALES,GRADO EN FISICA,76,26
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGIA,52,22
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,70,51
CIENCIAS EXPERIMENTALES,GRADO EN QUIMICA,45,48
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRIA,43,88
CIENCIAS EXPERIMENTALES,LICENCIATURA EN BIOLOGIA,418,622
CIENCIAS EXPERIMENTALES,LICENCIATURA EN BIOQUIMICA,43,45
CIENCIAS EXPERIMENTALES,LICENCIATURA EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,52,172
CIENCIAS EXPERIMENTALES,LICENCIATURA EN CIENCIAS AMBIENTALES,391,322
CIENCIAS EXPERIMENTALES,LICENCIATURA EN CIENCIAS Y TECNICAS ESTADISTICAS,17,22
CIENCIAS EXPERIMENTALES,LICENCIATURA EN FISICA,287,100
CIENCIAS EXPERIMENTALES,LICENCIATURA EN GEOLOGIA,116,56
CIENCIAS EXPERIMENTALES,LICENCIATURA EN MATEMATICAS,157,111
CIENCIAS EXPERIMENTALES,LICENCIATURA EN QUIMICA,175,195
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN BIBLIOTECONOMIA Y DOCUMENTACION,56,68
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN CIENCIAS EMPRESARIALES,625,687
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN CIENCIAS EMPRESARIALES (CEUTA),58,48
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN CIENCIAS EMPRESARIALES (MELILLA),49,68
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN EDUCACION SOCIAL,54,162
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),13,11
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN RELACIONES LABORALES,489,844
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN RELACIONES LABORALES (MELILLA),13,22
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN TRABAJO SOCIAL,130,383
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMATURA EN TURISMO,161,390
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,114,171
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),20,17
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),27,27
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO,54,89
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,149,38
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,83,74
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION Y DERECHO,47,56
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN COMUNICACION AUDIOVISUAL,42,24
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN DERECHO,271,269
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ECONOMIA,150,109
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION SOCIAL,25,99
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN FINANZAS Y CONTABILIDAD,55,75
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,41,16
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),8,8
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN INFORMACION Y DOCUMENTACION,28,41
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO DE EDUCACION INFANTIL,8,285
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO DE EDUCACION INFANTIL (CEUTA),7,47
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO DE EDUCACION INFANTIL (LA INMACULADA),10,147
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO DE EDUCACION INFANTIL (MELILLA),6,38
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO EN EDUCACION PRIMARIA,293,393
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO EN EDUCACION PRIMARIA (CEUTA),47,56
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO EN EDUCACION PRIMARIA (LA INMACULADA),155,162
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MAESTRO EN EDUCACION PRIMARIA (MELILLA),35,43
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN MARKETING E INVESTIGACION DE MERCADOS,63,68
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN PEDAGOGIA,17,108
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,166,257
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),5,7
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN SOCIOLOGIA,54,84
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN TRABAJO SOCIAL,38,142
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN TURISMO,41,102
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO,256,450
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN ADMINISTRACION Y DIRECCION DE EMPRESAS,873,1094
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,964,222
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS DEL TRABAJO,113,249
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,446,181
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN CIENCIAS POLITICAS Y DE LA ADMON. Y DERECHO,143,204
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN COMUNICACION AUDIOVISUAL,101,75
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN DERECHO,1254,1459
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN DOCUMENTACION,45,74
CIENCIAS SOCIALES Y JURIDICAS,LICENCIATURA EN ECONOMIA,721,680
