RAMAS,TITULACION,HOMBRES,MUJERES
ARTES Y HUMANIDADES,GRADO EN ARQUEOLOGIA,63,99
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,352,684
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,57,164
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,49,172
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,179,509
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,55,100
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,37,85
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,107,408
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,185,106
ARTES Y HUMANIDADES,GRADO EN HISTORIA,417,205
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,171,337
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,142,110
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,99,334
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,54,115
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,309,1162
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGIA,436,651
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUIMICA,84,136
CIENCIAS EXPERIMENTALES,GRADO EN BIOTECNOLOGIA,38,66
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,80,180
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,309,258
CIENCIAS EXPERIMENTALES,GRADO EN ESTADISTICA,91,68
CIENCIAS EXPERIMENTALES,GRADO EN FISICA,315,107
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGIA,150,94
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,208,184
CIENCIAS EXPERIMENTALES,GRADO EN QUIMICA,170,191
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRIA,171,345
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION EMPRESAS Y DCHO MELILLA,109,91
