RAMA DE CONOCIMIENTO,TITULACION,CENTRO,CAMPUS
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGI­A,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUI­MICA,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN BIOTECNOLOGIA,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIA Y TECNOLOGI­A DE LOS ALIMENTOS,FACULTAD DE FARMACIA,CARTUJA
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN ESTADI­STICA,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN FI­SICA,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGI­A,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN INGENIERI­A INFORMATICA Y MATEMATICAS (DOBLE GRADO),E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRI­A,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS EXPERIMENTALES,GRADO EN QUI­MICA,FACULTAD DE CIENCIAS,FUENTENUEVA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES / FACULTAD DE CIENCIAS SOCIALES DE MELILLA / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA",CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO (DOBLE GRADO),FACULTAD DE DERECHO / FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES / FACULTAD DE CIENCIAS SOCIALES DE MELILLA,CENTRO / CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN ANTROPOLOGI­A SOCIAL Y CULTURAL,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN CIENCIAS DE LA ACTIVIDAD FI­SICA Y DEL DEPORTE,FACULTAD DE CIENCIAS DEL DEPORTE,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN CIENCIAS POLI­TICAS Y DE LA ADMINISTRACION,FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN COMUNICACION AUDIOVISUAL,FACULTAD DE COMUNICACION Y DOCUMENTACION,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN CRIMINOLOGI­A,FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN DERECHO,FACULTAD DE DERECHO,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN CIENCIAS POLI­TICAS DE LA ADMINISTRACION Y DERECHO (DOBLE GRADO),FACULTAD DE DERECHO / FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN ECONOMI­A,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN MAESTRO EN EDUCACION INFANTIL,"FACULTAD DE CIENCIAS DE LA EDUCACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA / FACULTAD DE EDUCACION Y HUMANIDADES DE MELILLA / CENTRO DE MAGISTERIO LA INMACULADA",CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN MAESTRO EN EDUCACION PRIMARIA,"FACULTAD DE CIENCIAS DE LA EDUCACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA / FACULTAD DE EDUCACION Y HUMANIDADES DE MELILLA / CENTRO DE MAGISTERIO LA INMACULADA",CARTUJA
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN EDUCACION PRIMARIA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE (DOBLE GRADO),FACULTAD DE EDUCACION Y HUMANIDADES,MELILLA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN EDUCACION SOCIAL,"FACULTAD DE CIENCIAS DE LA EDUCACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA / FACULTAD DE EDUCACION Y HUMANIDADES DE MELILLA",CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN FINANZAS Y CONTABILIDAD,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN GEOGRAFI­A Y GESTION DEL TERRITORIO,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN GESTION Y ADMINISTRACION PUBLICA,FACULTAD DE CIENCIAS SOCIALES DE MELILLA,MELILLA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN INFORMACION Y DOCUMENTACION,FACULTAD DE COMUNICACION Y DOCUMENTACION,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN MARKETING E INVESTIGACION DE MERCADOS,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN PEDAGOGI­A,FACULTAD DE CIENCIAS DE LA EDUCACION,CARTUJA
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,FACULTAD DE CIENCIAS DEL TRABAJO,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN SOCIOLOGI­A,FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN TRABAJO SOCIAL,FACULTAD DE TRABAJO SOCIAL,CENTRO
CIENCIAS SOCIALES Y JURI­DICAS,GRADO EN TURISMO,FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CARTUJA
ARTES Y HUMANIDADES,GRADO EN ARQUEOLOGI­A,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,FACULTAD DE BELLAS ARTES,AYNADAMAR
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,AYNADAMAR
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN FILOLOGI­A CLASICA,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN FILOLOGI­A HISPANICA,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN FILOSOFI­A,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN HISTORIA,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,FACULTAD DE TRADUCCION E INTERPRETACION,CENTRO
CIENCIAS DE LA SALUD,GRADO EN ENFERMERI­A,FACULTAD DE CIENCIAS DE LA SALUD / FACULTAD DE CIENCIAS DE LA SALUD DE CEUTA,CENTRO
CIENCIAS DE LA SALUD,GRADO EN FARMACIA,FACULTAD DE FARMACIA,CARTUJA
CIENCIAS DE LA SALUD,GRADO EN FISIOTERAPIA,FACULTAD DE CIENCIAS DE LA SALUD,CENTRO
CIENCIAS DE LA SALUD,GRADO EN LOGOPEDIA,FACULTAD DE PSICOLOGI­A,CARTUJA
CIENCIAS DE LA SALUD,GRADO EN MEDICINA,FACULTAD DE MEDICINA,CENTRO
CIENCIAS DE LA SALUD,GRADO EN NUTRICION HUMANA Y DIETETICA,FACULTAD DE FARMACIA,CARTUJA
CIENCIAS DE LA SALUD,GRADO EN ODONTOLOGI­A,FACULTAD DE ODONTOLOGI­A,CARTUJA
CIENCIAS DE LA SALUD,GRADO EN PSICOLOGI­A,FACULTAD DE PSICOLOGI­A,CARTUJA
CIENCIAS DE LA SALUD,GRADO EN TERAPIA OCUPACIONAL,FACULTAD DE CIENCIAS DE LA SALUD,CENTRO
INGENIERI­A Y ARQUITECTURA,GRADO EN ARQUITECTURA,E. T. S. DE ARQUITECTURA,AYNADAMAR
INGENIERI­A Y ARQUITECTURA,GRADO EN INGENIERI­A CIVIL,"E. T. S. DE INGENIERI­A DE CAMINOS, CANALES Y PUERTOS",FUENTENUEVA
INGENIERI­A Y ARQUITECTURA,GRADO EN EDIFICACION,ESCUELA TECNICA SUPERIOR DE INGENIERI­A Y EDIFICACION,FUENTENUEVA
INGENIERI­A Y ARQUITECTURA,GRADO EN INGENIERI­A DE TECNOLOGI­AS DE TELECOMUNICACION,E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
INGENIERI­A Y ARQUITECTURA,GRADO EN INGENIERI­A ELECTRONICA INDUSTRIAL,"FACULTAD DE CIENCIAS / E. T. S. DE CAMINOS, CANALES Y PUERTOS",FUENTENUEVA
INGENIERI­A Y ARQUITECTURA,GRADO EN INGENIERI­A INFORMATICA,"E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA",AYNADAMAR
INGENIERI­A Y ARQUITECTURA,GRADO EN INGENIERI­A INFORMATICA Y MATEMATICAS (DOBLE GRADO),E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
INGENIERI­A Y ARQUITECTURA,GRADO EN INGENIERI­A QUI­MICA,FACULTAD DE CIENCIAS,FUENTENUEVA
