PAIS DE ORIGEN,HOMBRES,MUJERES
AFGANISTAN,1,5
ALBANIA,0,6
ALEMANIA,141,290
ANDORRA,7,11
ANGOLA,1,1
ARGELIA,5,10
ARGENTINA,79,128
ARMENIA,3,4
AUSTRALIA,4,11
AUSTRIA,14,29
BARBADOS,1,0
BIELORUSIA,3,3
BOLIVIA,13,20
BOSNIA Y HERZEGOVINA,1,2
BRASIL,37,75
BULGARIA,19,19
BELGICA,26,77
CABO VERDE,0,1
CAMERUN,0,1
CANADA,4,11
SRI LANKA,0,1
CHECOSLOVAQUIA,0,1
CHILE,27,46
CHINA,21,73
CHIPRE,1,7
COLOMBIA,52,78
CONGO,0,1
COREA DEL SUR,2,7
COSTA RICA,1,1
CROACIA,0,4
CUBA,6,11
DINAMARCA,6,11
DOMINICA,0,1
ECUADOR,35,49
EE. UU. DE AMERICA,33,129
EGIPTO,0,3
EL SALVADOR,3,1
ESLOVAQUIA,11,40
ESLOVENIA,0,6
ESTONIA,2,8
FILIPINAS,1,0
FINLANDIA,1,31
FRANCIA,140,241
GEORGIA,0,2
GHANA,2,0
GIBRALTAR,1,1
GRECIA,14,27
GRENADA,1,0
GUATEMALA,3,9
GUINEA BISSAU,1,0
GUINEA ECUATORIAL,10,5
HOLANDA,17,37
HONDURAS,1,3
HUNGRIA,2,9
INDIA,0,2
INDONESIA,0,2
IRAK,0,1
IRLANDA,11,11
IRAN,1,1
ISLANDIA,1,1
ISRAEL,3,6
ITALIA,198,333
JAPON,1,7
JORDANIA,1,6
KAZAJISTAN,1,5
KENIA,1,3
KIRGUISTAN,1,0
LETONIA,1,2
LITUANIA,4,15
LUXEMBURGO,1,4
LIBANO,1,0
MARRUECOS,294,402
ISLAS MAURICIO,0,2
MAURITANIA,2,2
MOLDAVIA,3,7
MOZAMBIQUE,1,0
MEXICO,64,122
MONACO,0,3
NICARAGUA,2,1
NIGERIA,1,0
NORUEGA,1,6
NUEVA ZELANDA,1,1
PAKISTAN,0,3
PANAMA,1,0
PARAGUAY,2,3
PERU,18,21
POLONIA,26,137
PORTUGAL,21,55
PUERTO RICO,19,20
REINO UNIDO,65,145
REPUBLICA DOMINICANA,3,7
REPUBLICA MALGACHE,1,0
REPUBLICA SUDAFRICANA,0,1
REPUBLICA CHECA,11,40
RUMANIA,24,97
RUSIA,3,13
SAHARA,5,2
SENEGAL,4,1
SERBIA,3,4
SINGAPUR,0,1
SIRIA,7,2
SUECIA,4,8
SUIZA,43,66
TAIWAN,1,1
TANZANIA,1,0
TURKMENISTAN,0,1
TURQUIA,15,18
TUNEZ,0,1
UCRANIA,12,35
URUGUAY,7,9
VENEZUELA,19,34
VIETNAM,0,1
UNION SOVIETICA,14,44
DESCONOCIDO/SIN ESPECIFICAR,3,7
