PROVINCIA,HOMBRES,MUJERES
ALAVA,28,34
ALBACETE,62,93
ALICANTE,153,226
ALMERIA,1235,1776
ASTURIAS,22,31
AVILA,8,10
BADAJOZ,122,198
BALEARES,120,230
BARCELONA,223,299
BURGOS,13,20
CANTABRIA,11,26
CASTELLON,5,24
CEUTA,394,550
CIUDAD REAL,215,358
A CORUÑA,23,32
CUENCA,14,24
CACERES,55,56
CADIZ,843,1155
CORDOBA,961,1351
EXTRANJERO,17,17
GERONA,41,65
GRANADA,10464,13199
GUADALAJARA,6,12
GUIPUZCUA,18,18
HUELVA,140,163
HUESCA,5,10
JAEN,1754,2381
LA RIOJA,10,17
LERIDA,13,24
LEON,16,17
LUGO,3,6
MADRID,216,286
MELILLA,408,667
MURCIA,274,412
MALAGA,1397,1721
NAVARRA,17,30
NINGUNA,326,432
ORENSE,2,9
PALENCIA,6,6
LAS PALMAS,152,226
PONTEVEDRA,25,20
SALAMANCA,11,19
SEGOVIA,7,6
SEVILLA,275,443
SORIA,6,6
SANTA CRUZ DE TENERIFE,88,121
TARRAGONA,14,33
TERUEL,7,11
TOLEDO,30,44
VALENCIA,48,82
VALLADOLID,16,18
VIZCAYA,32,30
ZAMORA,7,6
ZARAGOZA,20,32
