RAMAS,TITULACION,HOMBRE,MUJER
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,175,290
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,24,76
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,27,38
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,30,101
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,95,192
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,25,44
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,86,95
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,85,50
ARTES Y HUMANIDADES,GRADO EN HISTORIA,203,81
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,83,171
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,69,59
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,57,95
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,22,36
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,181,404
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,133,195
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,356,481
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ARABE,24,46
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA CLASICA,24,31
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ESLAVA,19,14
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA FRANCESA,33,67
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA HEBREA,16,0
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA HISPANICA,343,189
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA INGLESA,166,312
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ITALIANA,4,6
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA PORTUGUESA,1,0
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ROMANICA,5,7
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFIA,151,63
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFIA,79,29
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA,357,156
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA DEL ARTE,154,220
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,47,49
ARTES Y HUMANIDADES,LICENCIADO EN TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,40,50
ARTES Y HUMANIDADES,LICENCIADO EN TRADUCCION E INTERPRETACION,434,681
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADISTICA,23,28
CIENCIAS EXPERIMENTALES,DIPLOMADO EN NUTRICION HUMANA Y DIETETICA,45,135
CIENCIAS EXPERIMENTALES,DIPLOMADO EN OPTICA Y OPTOMETRIA,82,167
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGIA,242,268
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUIMICA,32,57
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,163,105
CIENCIAS EXPERIMENTALES,GRADO EN ESTADISTICA,57,28
CIENCIAS EXPERIMENTALES,GRADO EN FISICA,139,45
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGIA,73,39
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,102,95
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRIA,79,170
CIENCIAS EXPERIMENTALES,GRADO EN QUIMICA,88,88
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOLOGIA,326,511
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOQUIMICA,35,46
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,48,174
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIAS AMBIENTALES,319,264
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIAS Y TECNICAS ESTADISTICAS,24,23
CIENCIAS EXPERIMENTALES,LICENCIADO EN FISICA,236,85
CIENCIAS EXPERIMENTALES,LICENCIADO EN GEOLOGIA,94,45
CIENCIAS EXPERIMENTALES,LICENCIADO EN MATEMATICAS,152,91
CIENCIAS EXPERIMENTALES,LICENCIADO EN QUIMICA,133,149
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMADO EN BIBLIOTECONOMIA Y DOCUMENTACION,39,44
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMADO EN CIENCIAS EMPRESARIALES,489,518
CIENCIAS SOCIALES Y JURIDICAS,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",34,28
CIENCIAS SOCIALES Y JURIDICAS,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",40,57
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMADO EN EDUCACION SOCIAL,20,86
CIENCIAS SOCIALES Y JURIDICAS,"DIPLOMADO EN GESTION Y ADMINISTRACION PUBLICA ""MELILLA""",10,7
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMADO EN RELACIONES LABORALES,366,645
CIENCIAS SOCIALES Y JURIDICAS,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",8,15
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMADO EN TRABAJO SOCIAL,91,240
CIENCIAS SOCIALES Y JURIDICAS,DIPLOMADO EN TURISMO,119,294
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,287,333
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),41,28
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),46,36
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO,104,167
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,36,34
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,285,76
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,194,109
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION Y DERECHO,105,117
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN COMUNICACION AUDIOVISUAL,63,67
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN DERECHO,474,570
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ECONOMIA,264,257
