RAMAS,TITULACION,HOMBRES,MUJERES
ARTES Y HUMANIDADES,GRADUADO/A EN ARQUEOLOGIA,18,41
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,364,550
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,39,131
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ARABES E ISLAMICOS,57,71
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,56,160
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,194,372
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGIA CLASICA,45,82
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGIA HISPANICA,274,209
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFIA,148,75
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,402,138
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,152,291
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MUSICA,131,90
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,174,209
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,56,71
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCION E INTERPRETACION,287,1002
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,24,45
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,103,154
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ARABE,10,17
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA CLASICA,13,17
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ESLAVA,7,8
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA FRANCESA,16,33
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA HISPANICA,46,72
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA INGLESA,62,166
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ITALIANA,0,1
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGIA ROMANICA,3,4
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFIA,53,35
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFIA,37,14
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA,137,69
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA DEL ARTE,62,131
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,16,14
ARTES Y HUMANIDADES,LICENCIADO EN TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,16,8
ARTES Y HUMANIDADES,LICENCIADO EN TRADUCCION E INTERPRETACION,62,206
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADISTICA,5,11
