TIPO DE PROCEDIMIENTO,ESTADO,HOMBRES,MUJERES
CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,PRESENTADOS FASE GENERAL,2264,2877
CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,APTOS FASE GENERAL,2068,2573
CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,NO APTOS FASE GENERAL,196,304
CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,PRESENTADOS FASE ESPECI­FICA,2630,3301
CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,PRESENTADOS FASE GENERAL,602,656
CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,APTOS FASE GENERAL,482,503
CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,NO APTOS FASE GENERAL,120,153
CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR,PRESENTADOS FASE ESPECIFICA,605,743
PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 25 AÑOS,NO PRESENTADOS,8,8
PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 25 AÑOS,APTOS,127,112
PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 25 AÑOS,NO APTOS,81,59
PROCEDIMIENTO DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 40 AÑOS CON EXPERIENCIA LABORAL O PROFESIONAL,APTOS,29,21
PROCEDIMIENTO DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 40 AÑOS CON EXPERIENCIA LABORAL O PROFESIONAL,NO APTOS,4,3
PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 45 AÑOS,NO PRESENTADOS,3,3
PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 45 AÑOS,APTOS,10,21
PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 45 AÑOS,NO APTOS,15,11
