"TIPO DE PROCEDIMIENTO","ESTADO","TOTAL","HOMBRES","MUJERES"
"CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","PRESENTADOS FASE GENERAL",5041,2181,2860
"CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","APTOS FASE GENERAL",4683,2039,2644
"CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","NO APTOS FASE GENERAL",358,142,216
"CONVOCATORIA ORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","MATRICULADOS FASE ESPECIFICA",5664,2441,3223
"CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","PRESENTADOS FASE GENERAL",1145,554,591
"CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","APTOS FASE GENERAL",886,448,438
"CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","NO APTOS FASE GENERAL",259,106,153
"CONVOCATORIA EXTRAORDINARIA: PRUEBA DE ACCESO A LA UNIVERSIDAD PARA ESTUDIANTES PROVENIENTES DE BACHILLERATO Y DE CICLOS FORMATIVOS DE GRADO SUPERIOR","PRESENTADOS  FASE ESPECIFICA",1349,601,748
"PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 25 AÑOS","NO PRESENTADOS",23,13,10
"PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 25 AÑOS","APTOS",175,104,71
"PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 25 AÑOS","NO APTOS",138,71,67
"PROCEDIMIENTO DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 40 AÑOS CON EXPERIENCIA LABORAL O PROFESIONAL","EXCLUIDOS",2,0,2
"PROCEDIMIENTO DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 40 AÑOS CON EXPERIENCIA LABORAL O PROFESIONAL","APTOS ",36,18,18
"PROCEDIMIENTO DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 40 AÑOS CON EXPERIENCIA LABORAL O PROFESIONAL","NO APTOS",12,5,7
"PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 45 AÑOS","NO PRESENTADOS",8,6,2
"PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 45 AÑOS","APTOS",33,11,22
"PRUEBA DE ACCESO A LA UNIVERSIDAD PARA MAYORES DE 45 AÑOS","NO APTOS",14,5,9
