"TITULACIONES","PLAZAS OFERTADAS","CUPO GENERAL","MAYORES 25","MAYORES 40 Y 45","TITULADOS","DISCAP.","DEPORTISTAS","MATRIC. TOTALES"
"ADMINISTRACION Y DIRECCION DE EMPRESAS",281,271,6,0,3,1,1,282
"ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA)",70,48,2,0,3,0,0,53
"ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA)",80,38,0,0,2,0,0,70
"ADMINISTRACION Y DIRECC. DE EMPRESAS + DERECHO",143,139,0,0,2,0,0,141
"ADMINISTRACION Y DIRECC. DE EMPRESAS + DERECHO (MELILLA)",50,43,0,0,1,1,0,45
"ANTROPOLOGIA SOCIAL Y CULTURAL",65,61,2,1,1,0,0,65
"ARQUEOLOGIA",65,62,2,0,1,1,0,66
"ARQUITECTURA",158,149,1,0,2,1,1,154
"BELLAS ARTES",235,219,5,2,2,1,0,229
"BIOLOGIA",215,203,2,0,3,0,1,209
"BIOQUIMICA",55,55,0,0,0,1,1,57
"BIOTECNOLOGIA",50,48,0,0,1,0,1,50
"CIENCIAS AMBIENTALES",150,144,1,0,0,0,0,145
"CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE",190,173,4,2,2,1,10,192
"CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE + ED. PRIMARIA (MELILLA)",65,59,1,0,1,2,0,63
"CIENCIAS POLITICAS Y DE LA ADMINISTRACION",160,157,2,0,1,0,0,160
"CC. POLITICAS Y DE LA ADMINISTRACION + DERECHO",143,141,2,0,2,0,0,145
"CIENCIAS Y TECNOLOGIA DE LOS ALIMENTOS",65,61,2,0,0,0,0,63
"COMUNICACION AUDIOVISUAL",65,63,3,0,1,0,0,67
"CONSERVACION Y RESTAURACION DE BIENES CULTURALES",50,46,1,1,1,1,0,50
"CRIMINOLOGIA",75,72,2,0,1,1,0,76
"DERECHO",500,470,10,5,5,1,0,491
"ECONOMIA",237,230,5,0,2,0,0,237
"EDUCACION INFANTIL  (CIENCIAS DE LA EDUCACION)",330,314,6,0,4,2,0,326
"EDUCACION INFANTIL (C. MAGISTERIO INMACULADA)",130,90,2,0,1,0,0,93
"EDUCACION INFANTIL (CEUTA)",70,41,4,0,1,0,0,46
"EDUCACION INFANTIL (MELILLA)",65,38,2,0,0,2,0,42
"EDUCACION PRIMARIA (CIENCIAS DE LA EDUCACION)",540,518,11,1,7,1,0,538
"EDUCACION PRIMARIA  (C. MAGISTERIO INMACULADA)",260,168,3,0,3,0,0,174
"EDUCACION PRIMARIA (BILINGÜE)",67,66,0,0,1,0,0,67
"EDUCACION PRIMARIA (CEUTA)",140,68,2,0,3,0,0,73
"EDUCACION PRIMARIA (MELILLA)",65,56,2,0,1,0,0,59
"EDUCACION SOCIAL (CIENCIAS DE LA EDUCACION)",135,131,2,0,2,0,1,136
"EDUCACION SOCIAL (CEUTA)",80,40,2,0,1,0,0,43
"EDUCACION SOCIAL (MELILLA)",80,43,1,0,0,0,0,44
"ENFERMERIA",200,193,4,3,2,0,0,202
"ENFERMERIA (CEUTA)",135,137,3,1,1,1,0,143
"ENFERMERIA (MELILLA)",110,102,2,1,2,4,0,111
"ESTADISTICA",60,51,0,0,4,0,0,55
"ESTUDIOS ARABES E ISLAMICOS",50,49,0,0,2,0,0,51
"ESTUDIOS FRANCESES",75,73,1,0,1,0,0,75
"ESTUDIOS INGLESES",150,145,3,0,1,0,1,150
"FARMACIA",320,306,3,0,4,1,1,315
"FILOLOGIA CLASICA",50,45,0,0,1,0,0,46
"FILOLOGIA HISPANICA",75,75,2,0,1,0,0,78
"FILOSOFIA",80,71,2,1,1,0,0,75
"FINANZAS Y CONTABILIDAD",129,123,3,0,2,1,0,129
"FISICA",130,123,1,0,2,0,0,126
"FISIOTERAPIA",57,48,2,2,1,3,5,61
"GEOGRAFIA Y GESTION DEL TERRITORIO",60,58,2,0,1,0,0,61
"GEOLOGIA",75,64,0,0,1,0,0,65
"HISTORIA",150,146,3,1,1,1,0,152
"HISTORIA DEL ARTE",150,126,4,1,3,0,0,134
"HISTORIA Y CIENCIAS DE LA MUSICA",65,62,1,0,2,1,0,66
"INFORMACION Y DOCUMENTACION",100,61,1,0,6,0,0,68
"INGENIERIA  DE TECNOLOGIAS DE TELECOMUNICACION",100,98,0,0,1,0,0,99
"INGENIERIA CIVIL",200,198,0,0,3,0,0,201
"INGENIERIA DE EDIFICACION ",300,134,2,0,9,0,0,145
"INGENIERIA ELECTRONICA INDUSTRIAL",65,64,2,0,0,0,0,66
"INGENIERIA INFORMATICA",300,293,1,0,3,1,0,298
"INGENIERIA INFORMATICA + MATEMATICAS",50,51,0,0,1,0,0,52
"INGENIERIA INFORMATICA (CEUTA)",50,21,0,0,0,0,0,21
"INGENIERIA QUIMICA",120,115,1,0,1,1,0,118
"LENGUAS MODERNAS Y SUS LITERATURAS",75,70,2,1,0,0,0,73
"LITERATURAS COMPARADAS",50,49,1,0,0,0,0,50
"LOGOPEDIA",70,67,2,0,1,0,1,71
"MARKETING E INVESTIGACION DE MERCADOS",129,125,3,0,2,0,0,130
"MATEMATICAS",110,106,0,0,1,0,0,107
"MEDICINA",253,227,6,3,3,7,6,252
