RAMAS,TITULACION,HOMBRES,MUJERES
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,299,420
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,33,104
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,52,54
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,46,132
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,147,278
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,34,66
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,254,151
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,125,62
ARTES Y HUMANIDADES,GRADO EN HISTORIA,301,119
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,118,236
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,105,74
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,155,153
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,44,55
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,390,662
ARTES Y HUMANIDADES,LICENCIATURA EN ANTROPOLOGIA SOCIAL Y CULTURAL,46,100
ARTES Y HUMANIDADES,LICENCIATURA EN BELLAS ARTES,217,335
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ARABE,11,28
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA CLASICA,21,25
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ESLAVA,10,14
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA FRANCESA,26,50
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA HISPANICA,103,131
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA INGLESA,117,246
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ITALIANA,1,2
ARTES Y HUMANIDADES,LICENCIATURA EN FILOLOGIA ROMANICA,2,6
ARTES Y HUMANIDADES,LICENCIATURA EN FILOSOFIA,99,47
ARTES Y HUMANIDADES,LICENCIATURA EN GEOGRAFIA,51,22
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA,220,108
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA DEL ARTE,102,175
ARTES Y HUMANIDADES,LICENCIATURA EN HISTORIA Y CIENCIAS DE LA MUSICA,33,27
ARTES Y HUMANIDADES,LICENCIATURA EN TEORIA DE LA LITERATURA Y LITERATURA COMPARADA,14,22
ARTES Y HUMANIDADES,LICENCIATURA EN TRADUCCION E INTERPRETACION,150,459
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN ESTADISTICA,10,16
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN NUTRICION HUMANA Y DIETETICA,21,58
CIENCIAS EXPERIMENTALES,DIPLOMATURA EN OPTICA Y OPTOMETRIA,41,78
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGIA,346,365
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUIMICA,55,83
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,37,80
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,243,133
CIENCIAS EXPERIMENTALES,GRADO EN ESTADISTICA,59,47
CIENCIAS EXPERIMENTALES,GRADO EN FISICA,208,54
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGIA,120,53
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,150,116
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRIA,109,230
CIENCIAS EXPERIMENTALES,GRADO EN QUIMICA,124,108
CIENCIAS EXPERIMENTALES,LICENCIATURA EN BIOLOGIA,225,383
CIENCIAS EXPERIMENTALES,LICENCIATURA EN BIOQUIMICA,35,46
