"RAMAS","TITULACION","HOMBRES","MUJERES","TOTAL"
"ARTES Y HUMANIDADES","GRADUADO/A EN ARQUEOLOGIA",44,71,115
"ARTES Y HUMANIDADES","GRADUADO/A EN BELLAS ARTES",326,635,961
"ARTES Y HUMANIDADES","GRADUADO/A EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL",44,158,202
"ARTES Y HUMANIDADES","GRADUADO/A EN ESTUDIOS FRANCESES",51,179,230
"ARTES Y HUMANIDADES","GRADUADO/A EN ESTUDIOS INGLESES",178,457,635
"ARTES Y HUMANIDADES","GRADUADO/A EN ESTUDIOS ARABES E ISLAMICOS",51,98,149
"ARTES Y HUMANIDADES","GRADUADO/A EN FILOLOGIA CLASICA",49,90,139
"ARTES Y HUMANIDADES","GRADUADO/A EN FILOLOGIA HISPANICA",116,394,510
"ARTES Y HUMANIDADES","GRADUADO/A EN FILOSOFIA",172,93,265
"ARTES Y HUMANIDADES","GRADUADO/A EN HISTORIA",393,185,578
"ARTES Y HUMANIDADES","GRADUADO/A EN HISTORIA DEL ARTE",157,335,492
"ARTES Y HUMANIDADES","GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MUSICA",135,107,242
"ARTES Y HUMANIDADES","GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS",106,325,431
"ARTES Y HUMANIDADES","GRADUADO/A EN LITERATURAS COMPARADAS",53,97,150
"ARTES Y HUMANIDADES","GRADUADO/A EN TRADUCCION E INTERPRETACION",276,1105,1381
"ARTES Y HUMANIDADES","LICENCIADO EN ANTROPOLOGIA SOCIAL Y CULTURAL",15,33,48
"ARTES Y HUMANIDADES","LICENCIADO EN BELLAS ARTES",48,63,111
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA CLASICA",6,7,13
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA ESLAVA",1,2,3
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA FRANCESA",4,15,19
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA HISPANICA",10,26,36
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA INGLESA",36,86,122
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA ITALIANA",0,1,1
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA ROMANICA",0,1,1
"ARTES Y HUMANIDADES","LICENCIADO EN FILOLOGIA ARABE",5,10,15
"ARTES Y HUMANIDADES","LICENCIADO EN FILOSOFIA",20,11,31
"ARTES Y HUMANIDADES","LICENCIADO EN GEOGRAFIA",21,10,31
"ARTES Y HUMANIDADES","LICENCIADO EN HISTORIA",53,35,88
"ARTES Y HUMANIDADES","LICENCIADO EN HISTORIA DEL ARTE",33,79,112
"ARTES Y HUMANIDADES","LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA",2,6,8
"ARTES Y HUMANIDADES","LICENCIADO EN TEORIA DE LA LITERATURA Y LITERATURA COMPARADA",6,3,9
"ARTES Y HUMANIDADES","LICENCIADO EN TRADUCCION E INTERPRETACION",28,93,121
"CIENCIAS EXPERIMENTALES","DIPLOMADO EN ESTADISTICA",2,6,8
"CIENCIAS EXPERIMENTALES","DIPLOMADO EN NUTRICION HUMANA Y DIETETICA",2,12,14
"CIENCIAS EXPERIMENTALES","DIPLOMADO EN OPTICA Y OPTOMETRIA",4,11,15
"CIENCIAS EXPERIMENTALES","GRADUADO/A EN BIOLOGIA",442,599,1041
"CIENCIAS EXPERIMENTALES","GRADUADO/A EN BIOQUIMICA",80,135,215
"CIENCIAS EXPERIMENTALES","GRADUADO/A EN BIOTECNOLOGIA",23,26,49
"CIENCIAS EXPERIMENTALES","GRADUADO/A EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS",79,150,229
"CIENCIAS EXPERIMENTALES","GRADUADO/A EN CIENCIAS AMBIENTALES",307,226,533
