RAMAS,TITULACION,HOMBRES,MUJERES,TOTAL
ARTES Y HUMANIDADES,GRADO EN ARQUEOLOGIA,63,99,162
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,352,684,1036
ARTES Y HUMANIDADES,GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURAL,57,164,221
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,49,172,221
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,179,509,688
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ARABES E ISLAMICOS,55,100,155
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA CLASICA,37,85,122
ARTES Y HUMANIDADES,GRADO EN FILOLOGIA HISPANICA,107,408,515
ARTES Y HUMANIDADES,GRADO EN FILOSOFIA,185,106,291
ARTES Y HUMANIDADES,GRADO EN HISTORIA,417,205,622
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,171,337,508
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,142,110,252
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,99,334,433
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,54,115,169
ARTES Y HUMANIDADES,GRADO EN TRADUCCION E INTERPRETACION,309,1162,1471
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGIA,436,651,1087
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUIMICA,84,136,220
CIENCIAS EXPERIMENTALES,GRADO EN BIOTECNOLOGIA,38,66,104
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,80,180,260
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,309,258,567
CIENCIAS EXPERIMENTALES,GRADO EN ESTADISTICA,91,68,159
CIENCIAS EXPERIMENTALES,GRADO EN FISICA,315,107,422
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGIA,150,94,244
CIENCIAS EXPERIMENTALES,GRADO EN MATEMATICAS,208,184,392
CIENCIAS EXPERIMENTALES,GRADO EN QUIMICA,170,191,361
CIENCIAS EXPERIMENTALES,GRADO EN OPTICA Y OPTOMETRIA,171,345,516
CIENCIAS SOCIALES Y JURIDICAS,GRADO EN ADMINISTRACION Y DIRECCION EMPRESAS Y DCHO MELILLA,109,91,200
