MASTER,MUJER,HOMBRE,TOTAL
MASTER UNIVERSITARIO EN ABOGACI­A,114,76,190
MASTER UNIVERSITARIO EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO,21,1,22
"MASTER UNIVERSITARIO EN ANALISIS Y GESTION DEL TERRITORIO. PLANIFICACION, GOBERNANZA Y LIDERAZGO TERRITORIAL",10,22,32
MASTER UNIVERSITARIO EN ANTROPOLOGI­A FI­SICA Y FORENSE,34,19,53
MASTER UNIVERSITARIO EN ARQUEOLOGI­A,32,35,67
MASTER UNIVERSITARIO EN ARTES VISUALES Y EDUCACION. UN ENFOQUE CONSTRUCCIONISTA,24,8,32
MASTER UNIVERSITARIO EN ARQUITECTURA,7,17,24
"MASTER UNIVERSITARIO EN ASESORIA LABORAL, FISCAL Y JURIDICA DE LA EMPRESA",31,16,47
MASTER UNIVERSITARIO EN ATENCION FARMACEUTICA EUROPHARMNES,5,2,7
MASTER UNIVERSITARIO EN AUDITORI­A,13,17,30
MASTER UNIVERSITARIO EN AVANCES EN BIOLOGI­A AGRARIA Y ACUICULTURA,11,9,20
MASTER UNIVERSITARIO EN AVANCES EN CALIDAD Y TECNOLOGI­A ALIMENTARIA,30,12,42
MASTER UNIVERSITARIO EN AVANCES EN RADIOLOGI­A DIAGNOSTICA Y TERAPEUTICA Y MEDICINA FI­SICA,18,17,35
MASTER UNIVERSITARIO EN BIOLOGI­A AGRARIA Y ACUICULTURA,20,8,28
MASTER UNIVERSITARIO EN BIOLOGI­A MOLECULAR APLICADA A EMPRESAS BIOTECNOLOGICAS (BIOENTERPRISE),14,19,33
MASTER UNIVERSITARIO EN BIOMEDICINA REGENERATIVA,17,11,28
MASTER UNIVERSITARIO EN BIOTECNOLOGI­A,17,20,37
MASTER UNIVERSITARIO EN CIENCIA DE DATOS E INGENIERI­A DE COMPUTADORES,12,58,70
MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGIA DE COLOIDES E INTERFASES,0,1,1
MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGI­A EN PATRIMONIO ARQUITECTONICO,14,6,20
"MASTER UNIVERSITARIO EN CIENCIAS Y TECNOLOGI­AS QUI­MICAS, KHEMIA",8,10,18
MASTER UNIVERSITARIO EN CLAVES DEL MUNDO CONTEMPORANEO,0,1,1
"MASTER UNIVERSITARIO EN CONDICIONANTES GENETICOS, NUTRICIONALES Y AMBIENTALES DEL CRECIMIENTO Y DESARROLLO",106,18,124
"MASTER UNIVERSITARIO EN CONSERVACION, GESTION Y RESTAURACION DE LA BIODIVERSIDAD",23,18,41
"MASTER UNIVERSITARIO EN COOPERACION AL DESARROLLO, GESTION PUBLICA Y DE LAS ONGS",43,20,63
MASTER UNIVERSITARIO EN CRIMINALIDAD E INTERVENCION SOCIAL EN MENORES,64,8,72
MASTER UNIVERSITARIO EN CUIDADOS DE SALUD PARA LA PROMOCION DE LA AUTONOMI­A DE LAS PERSONAS Y LA ATENCION A LOS PROCESOS DEL FIN DE LA VIDA,29,7,36
"MASTER UNIVERSITARIO EN CULTURA DE PAZ, CONFLICTOS, EDUCACION Y DERECHOS HUMANOS",29,15,44
MASTER UNIVERSITARIO EN CULTURAS ARABE Y HEBREA: AL-ANDALUS Y MUNDO ARABE CONTEMPORANEO,15,8,23
MASTER UNIVERSITARIO EN CULTURAS ARABE Y HEBREA. PASADO Y PRESENTE,1,0,1
MASTER UNIVERSITARIO EN DERECHO CONSTITUCIONAL EUROPEO,6,2,8
MASTER UNIVERSITARIO EN DERECHO DE LOS NEGOCIOS,14,13,27
MASTER UNIVERSITARIO EN DERECHO INTERNACIONAL Y RELACIONES INTERNACIONALES,28,19,47
"MASTER UNIVERSITARIO EN DERECHO SANITARIO, BIOETICA Y DERECHO A LA SALUD EN LA UNION EUROPEA",8,10,18
MASTER UNIVERSITARIO EN DESARROLLO DEL SOFTWARE,1,8,9
"MASTER UNIVERSITARIO EN DIBUJO - CREACION, PRODUCCION Y DIFUSION",10,8,18
MASTER UNIVERSITARIO EN DIDACTICA DE LA MATEMATICA,20,12,32
MASTER UNIVERSITARIO EN DIRECCION Y GESTION PUBLICA,10,19,29
MASTER UNIVERSITARIO EN DIVERSIDAD CULTURAL. UN ENFOQUE MULTIDISCIPLINAR Y TRANSFRONTERIZO,17,4,21
MASTER UNIVERSITARIO EN ECONOMI­A Y ORGANIZACION DE EMPRESAS,13,6,19
MASTER UNIVERSITARIO EN ECONOMI­A/ECONOMICS,7,18,25
MASTER UNIVERSITARIO EN EDUCACION MUSICAL: UNA PERSPECTIVA MULTIDISCIPLINAR,19,5,24
MASTER UNIVERSITARIO EN EDUCACION SOCIAL: INVESTIGACION Y DESARROLLO PROFESIONAL,36,3,39
MASTER UNIVERSITARIO EN EDUCADOR / EDUCADORA AMBIENTAL,10,6,16
"MASTER UNIVERSITARIO EN ENSEÑANZA DE ESPAÑOL LENGUA EXTRANJERA: LENGUA, CULTURA Y METODOLOGI­A",26,13,39
MASTER UNIVERSITARIO EN ESTADI­STICA APLICADA,28,37,65
MASTER UNIVERSITARIO EN ESTRUCTURAS,6,13,19
MASTER UNIVERSITARIO EN ESTUDIOS DE ASIA ORIENTAL,11,6,17
"MASTER UNIVERSITARIO EN ESTUDIOS E INTERVENCION SOCIAL EN INMIGRACION, DESARROLLO Y GRUPOS VULNERABLES",21,14,35
MASTER UNIVERSITARIO EN ESTUDIOS LATINOAMERICANOS: CULTURA Y GESTION,31,15,36
MASTER UNIVERSITARIO EN ESTUDIOS LITERARIOS Y TEATRALES,16,5,21
MASTER UNIVERSITARIO EN ESTUDIOS MIGRATORIOS. DESARROLLO E INTERVENCION SOCIAL,1,2,3
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE FILOLOGI­A Y TRADICION CLASICAS,1,6,7
MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA,23,10,33
MASTER UNIVERSITARIO EN FILOSOFI­A CONTEMPORANEA,5,12,17
MASTER UNIVERSITARIO EN FI­SICA Y MATEMATICAS,5,21,26
"MASTER UNIVERSITARIO EN FI­SICA: RADIACIONES, NANOTECNOLOGI­A, PARTI­CULAS Y ASTROFI­SICA",3,12,15
MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION,19,13,32
MASTER UNIVERSITARIO EN GEOFI­SICA Y METEOROLOGI­A,14,15,29
