"RAMA DE CONOCIMIENTO","PLAN DE ESTUDIOS","Nº MEDIO DE CREDITOS MATRICULADOS","Nº MEDIO DE CREDITOS PRESENTADOS","Nº MEDIO DE CREDITOS SUPERADOS"
"ARTES Y HUMANIDADES","1ER - 2º CICLO","45,27","32,75","28,52"
"CIENCIAS","1ER - 2º CICLO","52,23","36,39","30,11"
"CIENCIAS DE LA SALUD","1ER - 2º CICLO","67,77","52,61","46,03"
"CIENCIAS SOCIALES Y JURIDICAS","1ER - 2º CICLO","43,92","33,31","28,05"
"INGENIERIA Y ARQUITECTURA","1ER - 2º CICLO","39,13","26,81","23,03"
"ARTES Y HUMANIDADES","GRADO","57,18","50,9","45,63"
"CIENCIAS","GRADO","59,81","52,63","40,8"
"CIENCIAS DE LA SALUD","GRADO","60,06","56,72","51,3"
"CIENCIAS SOCIALES Y JURIDICAS","GRADO","58,98","54,21","47,48"
"INGENIERIA Y ARQUITECTURA","GRADO","54,39","44,49","33,79"
"ARTES Y HUMANIDADES","MASTER","48,44","44,22","44,05"
"CIENCIAS","MASTER","49,46","45,66","45,52"
"CIENCIAS DE LA SALUD","MASTER","55,2","52,8","52,73"
"CIENCIAS SOCIALES Y JURIDICAS","MASTER","52,88","48,54","48,4"
"INGENIERIA Y ARQUITECTURA","MASTER","47,56","41,8","41,66"
