DOCTORADO,RAMA DE CONOCIMIENTO,CENTRO,CAMPUS
PROGRAMA DE DOCTORADO EN BIOMEDICINA,CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN BIOQUIMICA Y BIOLOGIA MOLECULAR,CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN FARMACIA,CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN MEDICINA CLINICA Y SALUD PUBLICA,CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN NUTRICION Y CIENCIA DE LOS ALIMENTOS,CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN PSICOLOGIA,CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
ACTIVIDAD FISICA Y SALUD (PD60),CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
"INVESTIGACION MULTIDISCIPLINAR E INNOVACION EN PROCESOS DE DISCAPACIDAD, DEPENDENCIA Y FIN DE VIDA",CIENCIAS DE LA SALUD,ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN CIENCIAS ECONOMICAS Y EMPRESARIALES,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
CIENCIAS DE LA EDUCACION,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN CIENCIAS JURIDICAS,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN CIENCIAS SOCIALES,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN ESTUDIOS MIGRATORIOS,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN FILOSOFIA,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN HISTORIA Y ARTES,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
"PROGRAMA DE DOCTORADO EN LENGUAS, TEXTOS Y CONTEXTOS","HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
ESTUDIOS DE LAS MUJERES Y DE GENERO,"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
MODELOS DE ENSEÑANZA-APRENDIZAJE Y DESARROLLO DE LAS INSTITUCIONES EDUCATIVAS (CEUTA) - (PD60),"HUMANIDADES, CIENCIAS SOCIALES Y JURIDICAS",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN BIOLOGIA FUNDAMENTAL Y DE SISTEMAS,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN CIENCIAS DE LA TIERRA,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN DINAMICA DE FLUJOS BIOGEOQUIMICOS Y SUS APLICACIONES,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN ESTADISTICA MATEMATICA Y APLICADA,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN FISICA Y CIENCIAS DEL ESPACIO,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN FISICA Y MATEMATICAS,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN INGENIERIA CIVIL,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN MATEMATICAS,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN QUIMICA,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
PROGRAMA DE DOCTORADO EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
INGENIERIA CIVIL Y ARQUITECTURA,"CIENCIAS, TECNOLOGIAS E INGENIERIA",ESCUELA DE DOCTORADO ,UGR
