TITULACION,RAMA,CENTRO,CAMPUS
GRADO EN BIOLOGI­A,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN BIOQUI­MICA,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN CIENCIA Y TECNOLOGI­A DE LOS ALIMENTOS,CIENCIAS,FACULTAD DE FARMACIA,CARTUJA
GRADO EN CIENCIAS AMBIENTALES,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN ESTADI­STICA,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN FI­SICA,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN GEOLOGI­A,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN INGENIERI­A INFORMATICA Y MATEMATICAS (DOBLE GRADO),CIENCIAS,E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION,AYNADAMAR
GRADO EN MATEMATICAS,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN OPTICA Y OPTOMETRI­A,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN QUI­MICA,CIENCIAS,FACULTAD DE CIENCIAS,FUENTENUEVA
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,CIENCIAS SOCIALES Y JURI­DICAS,"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES / FACULTAD DE CIENCIAS SOCIALES DE MELILLA / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA",CARTUJA
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO (DOBLE GRADO),CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE DERECHO / FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES,CENTRO / CARTUJA
GRADO EN ANTROPOLOGI­A SOCIAL Y CULTURAL,CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE FILOSOFI­A Y LETRAS,CARTUJA
GRADO EN CIENCIAS DE LA ACTIVIDAD FI­SICA Y DEL DEPORTE,CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE CIENCIAS DEL DEPORTE,CARTUJA
GRADO EN CIENCIAS POLI­TICAS Y DE LA ADMINISTRACION,CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A,CENTRO
GRADO EN COMUNICACION AUDIOVISUAL,CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE COMUNICACION Y DOCUMENTACION,CARTUJA
GRADO EN CRIMINOLOGI­A,CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE DERECHO,CENTRO
GRADO EN DERECHO,CIENCIAS SOCIALES Y JURI­DICAS,FACULTAD DE DERECHO,CENTRO
