"TITULACION","RAMA DE CONOCIMIENTO","CENTRO","CAMPUS"
"BIOLOGI­A","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"BIOQUI­MICA","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"BIOTECNOLOGIA","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"CIENCIA Y TECNOLOGI­A DE LOS ALIMENTOS","CIENCIAS","FACULTAD DE FARMACIA","CARTUJA"
"CIENCIAS AMBIENTALES","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"ESTADI­STICA","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"FI­SICA","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"GEOLOGI­A","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"INGENIERI­A INFORMATICA Y MATEMATICAS (DOBLE GRADO)","CIENCIAS","E. T. S. DE INGENIERI­AS INFORMATICA Y DE TELECOMUNICACION","AYNADAMAR"
"MATEMATICAS","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"OPTICA Y OPTOMETRI­A","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"QUI­MICA","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"ADMINISTRACION Y DIRECCION DE EMPRESAS","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES / FACULTAD DE CIENCIAS SOCIALES DE MELILLA / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA","CARTUJA"
"ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO (DOBLE GRADO)","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE DERECHO / FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES / FACULTAD DE CIENCIAS SOCIALES DE MELILLA","CENTRO / CARTUJA"
"ANTROPOLOGI­A SOCIAL Y CULTURAL","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"CIENCIAS DE LA ACTIVIDAD FI­SICA Y DEL DEPORTE","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS DEL DEPORTE","CARTUJA"
"CIENCIAS POLI­TICAS Y DE LA ADMINISTRACION","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A","CENTRO"
"COMUNICACION AUDIOVISUAL","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE COMUNICACION Y DOCUMENTACION","CARTUJA"
"CRIMINOLOGI­A","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE DERECHO","CENTRO"
"DERECHO","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE DERECHO","CENTRO"
"CIENCIAS POLI­TICAS DE LA ADMINISTRACION Y DERECHO (DOBLE GRADO)","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE DERECHO / FACULTAD DE CIENCIAS POLI­TICAS Y SOCIOLOGI­A","CENTRO"
"ECONOMI­A","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES","CARTUJA"
"MAESTRO EN EDUCACION INFANTIL","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS DE LA EDUCACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA / FACULTAD DE EDUCACION Y HUMANIDADES DE MELILLA / CENTRO DE MAGISTERIO LA INMACULADA","CARTUJA"
"MAESTRO EN EDUCACION PRIMARIA","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS DE LA EDUCACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA / FACULTAD DE EDUCACION Y HUMANIDADES DE MELILLA / CENTRO DE MAGISTERIO LA INMACULADA","CARTUJA"
"EDUCACION PRIMARIA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE (DOBLE GRADO)","CIENCIAS SOCIALES Y JURIDICAS","FACULTAD DE EDUCACION Y HUMANIDADES","MELILLA"
"EDUCACION SOCIAL","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS DE LA EDUCACION / FACULTAD DE EDUCACION, ECONOMI­A Y TECNOLOGI­A DE CEUTA / FACULTAD DE EDUCACION Y HUMANIDADES DE MELILLA","CARTUJA"
"FINANZAS Y CONTABILIDAD","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES","CARTUJA"
"GEOGRAFI­A Y GESTION DEL TERRITORIO","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE FILOSOFI­A Y LETRAS","CARTUJA"
"GESTION Y ADMINISTRACION PUBLICA","CIENCIAS SOCIALES Y JURI­DICAS","FACULTAD DE CIENCIAS SOCIALES DE MELILLA","MELILLA"
