"TITULACION","RAMA","CENTRO","CAMPUS"
"MASTER UNIVERSITARIO EN ARQUEOLOGI­A (M71.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN CULTURAS IRABE Y HEBREA: AL-ANDALUS Y MUNDO IRABE CONTEMPORANEO (M13.56.2)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN DIBUJO - CREACION, PRODUCCION Y DIFUSION (M60.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN ENSEÑANZA DEL ELE: CULTURA Y METODOLOGI­A (M73.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ESTUDIOS DE ASIA ORIENTAL (MA2.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ESTUDIOS LATINOAMERICANOS: CULTURA Y GESTION (M20.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ESTUDIOS LITERARIOS Y TEATRALES (M90.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ESTUDIOS SUPERIORES DE LENGUA ESPAÑOLA (M70.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN FILOSOFI­A CONTEMPORANEA (M16.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN HISTORIA: DE EUROPA A AMERICA. SOCIEDADES, PODERES, CULTURAS (EURAME) (MA3.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN HISTORIA DEL ARTE. CONOCIMIENTO Y TUTELA DEL PATRIMONIO HISTORICO (M55.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INTERPRETACION DE CONFERENCIAS (MA5.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN LENGUAS Y CULTURAS MODERNAS (MB4.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN LITERATURA Y LINGI¼I­STICA INGLESAS (M19.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN LOGICA Y FILOSOFI­A DE LA CIENCIA (MA7.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN PATRIMONIO MUSICAL (M68.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN PRODUCCION E INVESTIGACION EN ARTE (M94.56.1)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","AYNADAMAR"
"MASTER UNIVERSITARIO EN TRADUCCION PROFESIONAL (M21.56.2)","ARTES Y HUMANIDADES","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER ERASMUS MUNDUS EN EL COLOR EN LA INFORMATICA Y LA TECNOLOGI­A DE LOS MEDIOS / ERASMUS MUNDUS IN COLOR IN INFORMATICS AND MEDIA TECHNOLOGY (CIMET) (M14.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER ERASMUS MUNDUS COSI Y COLOUR IN SCIENCE AND INDUSTRY / ERASMUS MUNDUS COSI Y COLOUR IN SCIENCE AND INDUSTRY (M14.56.2)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN AVANCES EN BIOLOGI­A AGRARIA Y ACUICULTURA (M48.56.2)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN BIOLOGI­A MOLECULAR APLLICADA A EMPRESAS BIOTECNOLOGICAS (BIOENTERPRISE) (M78.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN BIOTECNOLOGI­A (M38.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN CIENCIA Y TECNOLOGI­A EN PATRIMONIO ARQUITECTONICO (M80.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN CIENCIAS Y TECNOLOGI­AS QUI­MICAS, KHEMIA (M43.56.2)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN CONSERVACION, GESTION Y RESTAURACION DE LA BIODIVERSIDAD (M64.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN ESTADI­STICA APLICADA (M42.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN FI­SICA Y MATEMATICAS (M53.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN FI­SICA: RADIACIONES, NANOTECNOLOGI­A, PARTI­CULAS Y ASTROFI­SICA (M44.56.2)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN GENETICA Y EVOLUCION (M58.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN GEOFI­SICA Y METEOROLOGI­A (M40.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN GEOLOGI­A APLICADA A LOS RECURSOS MINERALES Y ENERGETICOS - GEOREC (M45.56.2)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MICROBIOLOGI­A (M46.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN MATEMATICAS (M37.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN IPTICA Y OPTOMETRI­A AVANZADAS (M47.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER UNIVERSITARIO EN TECNICAS Y CIENCIAS DE LA CALIDAD DEL AGUA (IDEA) (M96.56.1)","CIENCIAS","ESCUELA INTERNACIONAL DE POSGRADO","FUENTENUEVA"
"MASTER ERASMUS MUNDUS EN EXCELENCIA EN SALUD PIºBLICA / EUROPUBHEALTH (M18.56.2)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ANALISIS BIOLOGICO Y DIAGNOSTICO DE LABORATORIO (M41.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ANTROPOLOGI­A FI­SICA Y FORENSE (M34.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN ATENCION FARMACEUTICA EUROPHARMNES (M22.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN AVANCES EN CALIDAD Y TECNOLOGI­A ALIMENTARIA (M79.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN AVANCES EN RADIOLOGI­A DIAGNOSTICA Y TERAPEUTICA Y MEDICINA FI­SICA (M29.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN BIOMEDICINA REGENERATIVA (M31.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN CONDICIONANTES GENETICOS, NUTRICIONALES Y AMBIENTALES DEL CRECIMIENTO Y DESARROLLO (M36.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN CUIDADOS DE SALUD PARA LA PROMOCION DE LA AUTONOMI­A DE LAS PERSONAS Y LA ATENCION A LOS PROCESOS DEL FIN DE LA VIDA (M61.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CIENCIAS DE LA SALUD"
"MASTER UNIVERSITARIO EN INGENIERI­A TISULAR (M35.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN INVESTIGACION, DESARROLLO, CONTROL E INNOVACION DE MEDICAMENTOS (M91.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INVESTIGACION LOGOPEDICA EN TRASTORNOS DEGENERATIVOS Y DAÑO CEREBRAL (M89.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INVESTIGACION ODONTOLOGICA (M39.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN INVESTIGACION TRASLACIONAL Y MEDICINA PERSONALIZADA (MB3.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN INMUNOLOGI­A MOLECULAR Y CELULAR (M26.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN INVESTIGACION Y AVANCES EN MEDICINA PREVENTIVA Y SALUD PIºBLICA (M24.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN NEUROCIENCIA COGNITIVA Y DEL COMPORTAMIENTO (M30.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN NEUROCIENCIA Y DOLOR (M27.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
"MASTER UNIVERSITARIO EN NUTRICION HUMANA (M28.56.1)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN PSICOLOGI­A GENERAL SANITARIA (M33.56.2)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN PSICOLOGI­A JURI­DICA Y FORENSE (M23.56.2)","CIENCIAS DE LA SALUD","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER ERASMUS MUNDUS EN ESTUDIOS DE LAS MUJERES Y DE GENERO (M15.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CARTUJA"
"MASTER UNIVERSITARIO EN ABOGACI­A (M99.56.1)","CIENCIAS SOCIALES Y JURI­DICAS","ESCUELA INTERNACIONAL DE POSGRADO","CENTRO"
