PAIS DE ORIGEN,HOMBRES,MUJERES
AFGANISTAN,0,1
ALBANIA,1,6
ALEMANIA,157,315
ANDORRA,4,10
ANGOLA,2,0
ANTIGUA Y BARBUDA,0,1
ARGELIA,4,7
ARGENTINA,82,122
ARMENIA,1,5
AUSTRALIA,8,11
AUSTRIA,19,31
AZERBAIYAN,1,0
BARBADOS,1,0
BAHREIN,1,0
BIELORRUSIA,2,10
BOLIVIA,14,22
BOSNIA Y HERZEGOVINA,0,1
BRASIL,37,64
BULGARIA,15,18
BELGICA,34,62
CABO VERDE,0,1
CANADA,4,12
CHECOSLOVAQUIA,0,1
CHILE,20,56
CHINA,14,78
CHIPRE,3,6
COLOMBIA,56,84
COREA DEL SUR,3,7
COSTA DE MARFIL,1,0
COSTA RICA,1,2
CUBA,4,9
DINAMARCA,5,12
ECUADOR,39,51
EE. UU. DE AMERICA,43,124
EGIPTO,2,5
EL SALVADOR,1,1
ESLOVAQUIA,9,33
ESLOVENIA,2,5
ESTONIA,0,5
FILIPINAS,1,0
FINLANDIA,4,24
FRANCIA,100,252
GEORGIA,0,2
GHANA,1,0
GIBRALTAR,1,3
GRECIA,11,30
GRENADA,1,0
GUATEMALA,2,8
REPUBLICA DE GUINEA,0,1
GUINEA BISSAU,1,0
GUINEA ECUATORIAL,6,8
HOLANDA,16,49
HONDURAS,5,8
HUNGRIA,5,6
INDIA,0,1
IRAK,0,1
IRLANDA,5,20
IRAN,2,1
ISLANDIA,0,2
ISRAEL,1,0
ITALIA,202,328
JAMAICA,0,1
JAPON,4,7
JORDANIA,0,1
KAZAJISTAN,0,4
KENIA,0,1
KOSOVO,0,1
LETONIA,0,2
LITUANIA,4,14
LUXEMBURGO,1,0
LIBANO,1,1
MALASIA,0,2
MALTA,0,1
MARRUECOS,282,353
MAURITANIA,0,1
MOLDAVIA,4,8
MEXICO,66,137
NICARAGUA,2,1
NORUEGA,2,9
PAKISTAN,0,2
PANAMA,1,3
PARAGUAY,1,5
PERU,19,18
POLONIA,19,106
PORTUGAL,24,48
PUERTO RICO,9,39
QATAR,0,1
REINO UNIDO,67,164
REPUBLICA DOMINICANA,5,10
REPUBLICA MALGACHEAR,0,1
REPUBLICA SUDAFRICANA,0,1
REPUBLICA CHECA,7,40
RUMANIA,29,86
RUSIA,17,64
SAHARA,7,2
SARAWAK,0,1
SENEGAL,3,2
SERBIA,1,4
SINGAPUR,1,0
SIRIA,6,2
SUECIA,6,6
SUIZA,31,54
TAIWAN,1,0
TANZANIA,1,0
TURKMENISTAN,0,1
TURQUIA,12,15
TUNEZ,0,2
UCRANIA,11,39
URUGUAY,6,15
UZBEKISTAN,1,1
VENEZUELA,19,34
VIETNAM,0,1
DESCONOCIDO/SIN ESPECIFICAR,310,417
